Cod.,descrizione breve,Long,Lat,Territorio,Localizzazione,Venue,CUP,Descrizione lunga,Finalità,Totale quadro economico,Soggeto attuatore,Stazione Appaltante,procedura ambientale,Riferimento normativo procedura ambientale,data fine procedura ambientale,procedura autorizzativa,Riferimento normativo procedura autorizzativa,data fine procedura autorizzativa,data aggiudicazione,Aggiudicatario,Data inizio Lavori,Data fine Lavori,Fase dell'intervento,Certificazione dell'Opera,Tipo Legacy,fine ante olimpiadi,commissario,data pubblicazione dati
C13.0,Stazione ferroviaria di Trento - Adeguamento infrastrutturale,11.11949357760946,46.07209928637346,Area Dolomitica - Trento,Comune di Trento,Trento,C66J20000210001,"L'intervento prevede il rinnovamento della stazione di Trento su quattro aree principali per migliorare connettività, sicurezza e attrattività: A - Riqualificazione di Piazza Dante: nuovi spazi urbani, potenziamento bike parking, razionalizzazione traffico. B - Restauro del fabbricato viaggiatori: recupero facciate, miglioramento illuminazione, ristrutturazione interna. C - Manutenzione infrastrutturale: restyling sottopassi, adeguamento pensiline e pavimentazioni. D - Miglioramento accessibilità esterna: nuovo terminal bus, collegamento migliorato con stazione Trento-Malè. ",Legacy,31541916.48,RFI S.p.A.,RFI S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Parere di conformità urbanistica,"art 25 D.lgs 17 maggio 1985, n.210",2022-09-02 00:00:00,2023-09-25 00:00:00,"QUADRIO GAETANO COSTRUZIONI SPA, D’ADIUTORIO COSRTUZIONI S.P.A.",2023-11-20 00:00:00,2026-01-31 00:00:00,in esecuzione,---,Stradali/Ferroviari,,,2026-01-22
C14.0,Stazione di Longarone - Miglioramento accessibilità e velocizzazione itinerari,12.301796868638117,46.26763414583389,Area Dolomitica - Veneto,Comune di Longarone,Linea Ferroviaria Venezia Calalzo,J57B20000230008,"L’intervento alla stazione di Longarone prevede l’adeguamento dell’accessibilità ferroviaria e la modifica PRG di stazione.  Le attività principali consistono in interventi sulle banchine ferroviarie mirati a garantire la futura fruibilità dell’impianto alle persone a mobilità ridotta e interventi sull’armamento utili al riassetto del piano del ferro. Altre opere complementari  sono il restyling del fabbricato viaggiatori e la rifunzionalizzazione delle aree esterne corrispondenti all’attuale piazzale di stazione, innalzamento marciapiede con percorsi tattili, modifica PRG e ricollocamento binario, ricostruzione marciapiede, nuovo sottopasso ferroviario e installazione di due ascensori.",Legacy,12087401.73,RFI S.p.A.,RFI S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Parere di conformità urbanistica,"art 25 D.lgs 17 maggio 1985, n.210",2023-07-24 00:00:00,2025-04-11 00:00:00,RTI - SIELTE TRASPORTI srl PIEMME Impianti S.r.l.  ANTINOZZI S.r.l.,2025-08-12 00:00:00,2026-01-31 00:00:00,in esecuzione,---,Stradali/Ferroviari,,,2026-01-22
C15.0,Variante di Longarone,12.30416921699804,46.27993267109659,Area Dolomitica - Veneto,Comune di Longarone,SS51,F51B20000150001,"L’intervento si pone come obiettivo il miglioramento della sicurezza stradale della S.S. 51 nei pressi dell’abitato di Longarone con diminuzione del tasso di incidentalità che nel tratto interessato dalla variante è il più alto dell’intera S.S. 51.  Il tracciato sarà lungo circa 11,2 km, di cui 1,6 km in galleria, e una sezione stradale di categoria C1; inizia in corrispondenza dello svincolo di Soverzene, dove l’autostrada A27 confluisce nella S.S. 51, con un tracciato totalmente in destra idraulica del fiume Piave riconnettendosi alla S.S. 51 attuale, poco a nord dell’abitato di Castellavazzo, in corrispondenza della galleria stradale esistente. Una galleria di 1545 mt (55 mt artificiale, 1490 mt naturale) e sette viadotti per 3260 mt.",Legacy,438948651.44,SIMICO S.p.A.,SIMICO S.p.A.,VIA,art. 23 dlgs 152/2006 e ss.mm.ii,2024-02-05 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2025-09-24 00:00:00,2026-04-19 00:00:00,---,2027-02-12 00:00:00,2029-05-31 00:00:00,in progettazione,---,Stradali/Ferroviari,,Commissario Straordinario,2026-01-22
C16.0,"Variante di Cortina - Lotto 0  Sistemazione Lungo Boite: Sistemazione del Corpo Stradale, Raddoppio del Ponte Corona, Riqualificazione Via Cesare Battisti",12.135427,46.538003,Area Dolomitica - Veneto,Comune di Cortina,SS51,C49J22003570001,L’intervento prevede la riqualificazione e il ridimensionamento della viabilità Lungo Boite e via del Parco; la intersezione Ponte Corona e la  Pedonalizzazione di via Cesare Battisti.  LOTTO 0.,Legacy,21027595.71,SIMICO S.p.A.,SIMICO S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-12-07 00:00:00,2024-08-19 00:00:00,RTI BONOTTO s.r.l e C.F.C SOC. COOP e DOLOMITI STRADE s.r.l,2024-12-09 00:00:00,2026-08-07 00:00:00,in esecuzione,---,Stradali/Ferroviari,"Ultimazione lavori di prima fase:
22/12/2025",Commissario Straordinario,2026-01-22
C16.1,Variante di Cortina - Lotto 1 Bretella di penetrazione a SUD di Cortina,12.13904752475316,46.53032902737473,Area Dolomitica - Veneto,Comune di Cortina,SS51,F47H18001500001,L’intervento prevede la realizzazione di una “bretella di penetrazione a sud dell’abitato di Cortina” caratterizzata da un tracciato che si sviluppa per 775 mT all’aperto e che si collega alla viabilità esistente mediante due rotatorie. LOTTO 1.,Legacy,51861899.9996,SIMICO S.p.A.,SIMICO S.p.A.,VIA,art. 23 dlgs 152/2006 e ss.mm.ii,2020-09-02 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2025-01-28 00:00:00,n.d.,---,n.d.,n.d.,in progettazione,---,Stradali/Ferroviari,,Commissario Straordinario,2026-01-22
C16.2,Variante di Cortina - Lotto 2 Canne stradali gallerie e opera di difesa della SS51 a NORD di Cortina,12.116915,46.538387,Area Dolomitica - Veneto,Comune di Cortina,SS51,F41B20000120001,"L’intervento prevede la realizzazione della variante alla S.S. 51 di Alemagna in corrispondenza del centro abitato di Cortina d’Ampezzo al fine di razionalizzare il traffico gravitante sull’abitato congestionato. È previsto un by-pass a ovest dell’abitato, caratterizzato da un andamento quasi interamente in sotterraneo grazie alla realizzazione di una galleria di lunghezza complessiva di 4740 mt e di due nuove rotatorie a sud e a nord del tracciato . LOTTO 2.",Legacy,483207800.0012,SIMICO S.p.A.,SIMICO S.p.A.,VIA,art. 23 dlgs 152/2006 e ss.mm.ii,2026-04-19 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2026-06-29 00:00:00,2027-02-17 00:00:00,---,2027-10-21 00:00:00,2032-12-18 00:00:00,in progettazione,---,Stradali/Ferroviari,,Commissario Straordinario,2026-01-22
C17.0,PRG di Ponte nelle Alpi,12.284019949068732,46.18023130655075,Area Dolomitica - Veneto,Comune Ponte nelle Alpi,Linea Ferroviaria Venezia Calalzo,J17B20000630001,"L’intervento sulla stazione di Ponte nelle Alpi riguarda il piano regolatore generale di stazione. Le attività principali consistono in interventi sull’armamento, sulla trazione elettrica e sugli impianti di segnalamento. Altre opere complementari a questo intervento - ma non rientranti nel finanziamento olimpico - sono il restyling del fabbricato viaggiatori, la rifunzionalizzazione del'attuale piazzale di stazione, la costruzione di un nuovo terzo marciapiede ferroviario a nord dell’impianto, il prolungamento del sottopasso a servizio della nuova banchina e la creazione di un nuovo secondo fronte di stazione in località Polpet. ",Legacy,6243354.54,RFI S.p.A.,RFI S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,2025-01-13 00:00:00,R.T.I. SIELTE Trasporti S.r.l. e  Piemme impianti s.r.l. e Antinozzi s.r.l.,2025-09-15 00:00:00,2026-01-31 00:00:00,in esecuzione,---,Stradali/Ferroviari,,,2026-01-22
C18.1,Rinnovo stazioni/costruzione parcheggi di scambio Lotto 1 Stazione di Belluno,12.21001564559725,46.14150981864912,Area Dolomitica - Veneto,Comune di Belluno,Piano Stazioni Olimpiche,J17B20000640001,"L’intervento sulla Stazione di Belluno prevede la rifunzionalizzazione del fabbricato viaggiatori includendo gli interventi di miglioramento sismico delle strutture portanti, l’adeguamento e il miglioramento dell’accessibilità ferroviaria, potenziandola per le persone con mobilità ridotta. Sarà prolungato il sottopasso esistente, innalzati i marciapiedi ferroviari, installati ascensori e adeguate le scale, pensiline e segnaletica con mappe tattili.",Legacy,14481062.18,RFI S.p.A.,RFI S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-04-12 00:00:00,2024-04-05 00:00:00,"R.T.I. - VENETA 21 S.r.l., I.M.A.F. S.r.l., A.N.R. Edilizia & Impianti S.r.l.",2024-12-20 00:00:00,2026-01-31 00:00:00,in esecuzione,---,Stradali/Ferroviari,,,2026-01-22
C18.2,Rinnovo stazioni/costruzione parcheggi di scambio Lotto 2 Stazione di Feltre,11.911348,46.012991,Area Dolomitica - Veneto,Comune di Feltre,Piano Stazioni Olimpiche,C97D20000080001,L’intervento sulla Stazione di Feltre riguarda le opere di riqualificazione del fabbricato viaggiatori e il riassetto del piazzale di stazione anche in funzione del nuovo terminal.   ,Legacy,2977571.19,RFI S.p.A.,RFI S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-11-20 00:00:00,2024-10-10 00:00:00,"ATI - CAMAR SOCIETÀ COOPERATIVA, Consorziata Esecutrice ALLEGRINI S.r.l., e TECHNE S.p.A.",2025-06-20 00:00:00,2026-01-31 00:00:00,in esecuzione,---,Stradali/Ferroviari,,,2026-01-22
C19.0,Completamento percorso ciclabile Abbadia Lariana,9.359068492034305,45.88726697188599,Lombardia,Comune di Abbadia Lariana,SS36,F57H20001340001,L'intervento prevede una ciclopista che consentirà a ciclisti e pedoni di attraversare un itinerario protetto e svincolato dal pericoloso tratto di Superstrada. L' accesso protetto al lago avverrà mediante rampe e un percorso di transito per una costante verifica del viadotto della S.S. 36. L’intervento completa così una pista ciclopedonale già in parte realizzata nel 2017 tra i comuni di Abbadia Lariana (LC) e il capoluogo della provincia di Lecco. ,Legacy,31955199.996,SIMICO S.p.A.,SIMICO S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-05-03 00:00:00,2025-01-30 00:00:00,RTI QUADRIO GAETANO COSTRUZIONI S.p.A. - ADRIACOS S.p.A. Società Benefit e DOLOMITI ROCCE S.r.l.,2025-12-15 00:00:00,2027-06-23 00:00:00,in esecuzione,---,Altro,,Commissario Straordinario,2026-01-22
C20.0,Riqualificazione Busto Arsizio/Gallarate/Cardano,8.791892272882437,45.64291065727686,Lombardia,Comuni di Busto Artistizio - Gallarate - Cardano,SS336,F87H20001540001,L’intervento prevede l’adeguamento della sezione stradale alla categoria B migliorando la sicurezza stradale e rimanendo nei limiti della sede stradale esistente. L’attuale S.S. 336 collega l'autostrada A8 Milano-Varese dall'uscita di Busto Arsizio al terminal aeroportuale di Malpensa con un percorso a due carreggiate con quattro corsie. ,Legacy,56090500.0016,SIMICO S.p.A.,SIMICO S.p.A.,Verifica Assoggettabilità a VIA,art. 19 dlgs 152/2006 e ss.mm.ii,2024-10-25 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2026-03-09 00:00:00,2027-01-28 00:00:00,---,2027-01-29 00:00:00,2030-10-16 00:00:00,in progettazione,---,Stradali/Ferroviari,,,2026-01-22
C21.0,Nodo di Castione Andevenno noto come svincolo di Sassella,9.830666928401016,46.16215396022711,Lombardia,Comune di Castione Andevenno,SS38,F67H20000920001,"L'intervento prevede la realizzazione di un nuovo svincolo di Sassella. In corrispondenza dell’area commerciale del comune di Castione Andevenno sono state realizzate due rotatorie la cui capacità di smaltimento determina code di lunghezza crescente che si ripercuote sulla tangenziale di Sondrio. Il tratto stradale in esame è adiacente, in sinistra, alla linea ferroviaria Lecco – Tirano e, in destra, alla strada comunale sulla quale insistono gli accessi agli esercizi commerciali. ",Legacy,21411800.0014,SIMICO S.p.A.,SIMICO S.p.A.,Verifica Assoggettabilità a VIA,art. 19 dlgs 152/2006 e ss.mm.ii,2024-11-05 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2025-09-18 00:00:00,2026-03-25 00:00:00,---,2026-07-22 00:00:00,2027-09-24 00:00:00,in progettazione,---,Stradali/Ferroviari,,Commissario Straordinario,2026-01-22
C22.0,Potenziamento svincolo località Dervio,9.314216389476444,46.08294440865737,Lombardia,Comune di Dervio,SS36,F77H20001510001,L'intervento prevede la realizzazione di un nuovo svincolo nella località di Dervio. L’intervento si sviluppa per una lunghezza complessiva di circa 925 mt tra la rotatoria dello svincolo esistente con la S.S. 36 e una nuova rotatoria a ago di innesto sulla S.P. 72 posta più a nord. ,Legacy,48502200.0019,SIMICO S.p.A.,SIMICO S.p.A.,PAUR,"disciplinato con art. 27-bis del D.Lgs. 152/2006, introdotto dal D.Lgs. n. 104 del 2017, che recepisce la Direttiva 2014/52/UE",2024-01-22 00:00:00,PAUR,n.d.,2024-01-22 00:00:00,2025-07-29 00:00:00, T.M.G. SCAVI S.R.L.,2026-07-08 00:00:00,2028-03-06 00:00:00,in esecuzione,---,Stradali/Ferroviari,,,2026-01-22
C25.0,Interventi puntuali potenziamento - PRG sedi di incrocio,9.6524991228155,46.1658374776992,Lombardia,Linea Ferroviaria Milano Tirano,Linea Ferroviaria Milano Tirano,J84H20000850001,"L’intervento prevede il potenziamento su sei stazioni lungo la linea ferroviaria Milano-Tirano su: Stazione di Mandello del Lario (rettifica tracciato binari I e II, prolungamento marciapiedi a 250 m, allargamento sede ferroviaria e sottopasso); Stazione di Lierna (rettifica tracciato e prolungamento marciapiedi a 250 mt); Stazione di Ardenno Masino (nuovo tronchino binario I, demolizione marciapiede I, arretramento segnale di partenza binario II); Stazione di S. Pietro Berbenno (demolizione marciapiede, rettifica tracciato binario, allargamento marciapiede II a 180 m, scala di risalita e ascensori); Stazione di Colico; Stazione di Tirano.",Legacy,33672100,RFI S.p.A.,RFI S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,2024-02-15 00:00:00,"IMPRESA LUIGI NOTARI SPA - G.C.F. Generale Costruzioni Ferroviarie S.p.A., Valtellina S.p.A.",2024-03-28 00:00:00,2025-12-31 00:00:00,concluso,---,Stradali/Ferroviari,"Ultimazione opere minori:
10/09/2026",,2026-01-22
C26.0,Soppressione passaggi a livello insistenti su SS38 - Linea ferroviaria Milano -Tirano,9.922937,46.169030,Lombardia,Linea Ferroviaria Milano Tirano,Linea Ferroviaria Milano Tirano,JB4H20000860001,"L'intervento prevede la soppressione dei passaggi a livello insistenti sulla S.S. 38 relativi alla linea ferroviaria Sondrio – Tirano e interessa i Comuni di: Forcola (lotto 1), Colorina (lotto 2), Montagna in Valtellina-Poggiridenti (lotto 3), Chiuro - Teglio (lotto 4), Ponte in Valtellina - Chiuro (lotto 5), Bianzone (lotto 6).",Legacy,66000000,RFI S.p.A.,RFI S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",n.d.,2023-11-24 00:00:00,INFRARAIL S.r.l. - RTI QUADRIO GAETANO COSTRUZIONI SPA/D’ADIUTORIO APPALTI E COSTRUZIONI SRL,2024-10-14 00:00:00,2027-10-04 00:00:00,in esecuzione,---,Stradali/Ferroviari,"Ultimazione ante-Olimpiadi:
31/01/2026",Commissario Straordinario RFI,2026-01-22
C30.1,Realizzazione di una galleria artificiale e viabilità accessoria Lotto 1 Case Sparse presso il Passo del Tonale,10.57457287366771,46.25721284894058,Lombardia,Comune Ponte di Legno,SS42,F17H20001750001,"L’intervento prevede la costruzione di una galleria artificiale in località Case Sparse al passo del Tonale che consentirà il collegamento pedonale e sciistico tra i due versanti ai lati della S.S. 42 su cui sono posizionate le piste e gli impianti da sci, con la conseguente eliminazione delle interferenze tra la viabilità e il contesto sciistico. La lunghezza complessiva dell’intervento è di circa 715 mt. Sarà realizzata una galleria artificiale della lunghezza di 100 mt, due nuovi incroci di connessione alla viabilità esistente; aree di parcheggio e ricollocazione degli accessi alla Strada Statale; un tratto di strada esistente; piazzole di sosta per autobus.",Legacy,16329000,SIMICO S.p.A.,SIMICO S.p.A.,VIA,art. 23 dlgs 152/2006 e ss.mm.ii,2026-04-28 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2026-05-18 00:00:00,2026-09-30 00:00:00,---,2027-04-21 00:00:00,2029-05-09 00:00:00,in progettazione,---,Stradali/Ferroviari,,,2026-01-22
C30.2,Realizzazione di una galleria artificiale Lotto 2 Cida di Ponte di Legno,10.518002,46.258631,Lombardia,Comune Ponte di Legno,SS42,C17H20004950001,L'intervento prevede la risoluzione del traffico: la S.S. 42 in località Ponte di Legno (BS) rappresenta una barriera antropica per residenti e turisti e la modifica alla viabilità esistente permetterà di separare il flusso di traffico di passaggio verso il passo del Tonale e in uscita da Ponte di Legno dai flussi ordinari dei residenti migliorando la vivibilità dell’area e la sicurezza.  Sarà realizzato un sottopasso stradale ad una corsia per senso di marcia; due tronchi di strada che a partire dal sottopasso andranno ad innestarsi direttamente nelle due nuove rotatorie di progetto; nuove aree adibite a parcheggio autoveicoli; nuovo collegamento ciclo-pedonale.,Legacy,62640200,SIMICO S.p.A.,SIMICO S.p.A.,VIA,art. 23 dlgs 152/2006 e ss.mm.ii,2026-04-28 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2026-05-18 00:00:00,2026-09-30 00:00:00,---,2027-04-21 00:00:00,2029-10-06 00:00:00,in progettazione,---,Stradali/Ferroviari,,,2026-01-22
C31.0,Tangenziale sud di Sondrio,9.904579181459347,46.16890215989487,Lombardia,Comune di Sondrio,SS38,F61B20000140001,"L'intervento prevede il completamento della tangenziale di Sondrio in corrispondenza dell’intersezione tra la S.S. 38 e Via Europa, al confine tra i comuni di Sondrio e Montagna in Valtellina, con uno sviluppo stradale di circa 1 km, e una sezione stradale di categoria C1 ""extraurbana secondaria"". Saranno realizzate due rotatorie a raso, uno svincolo a due livelli in configurazione parziale sul tratto della S.S. 38,  una rampa di uscita per i veicoli provenienti da Tirano con direzione Sondrio.",Legacy,43513234.44,SIMICO S.p.A.,SIMICO S.p.A.,VIA,art. 23 dlgs 152/2006 e ss.mm.ii,2024-06-06 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2025-01-29 00:00:00,2026-08-14 00:00:00,---,2026-09-20 00:00:00,2027-11-19 00:00:00,in progettazione,---,Stradali/Ferroviari,,Commissario Straordinario,2026-01-22
C32.0,Collegamento alla rete ferroviaria nazionale,8.721366688025743,45.65072125307881,Lombardia,Comune di Ferno (Malpensa),Sede T2 MXP,E51I20000010009,"L’intervento prevede il collegamento ferroviario tra il Terminal 2 dell’Aeroporto Intercontinentale di Malpensa e la linea RFI del Sempione per una lunghezza di circa 4,6 km di nuovo tracciato verso Gallarate più 1,1 km di raccordo verso Casorate Sempione. Sarà realizzata una galleria artificiale con metodo “Top-Down” , uno scatolare a ci​elo aperto, una galleria naturale con scavo tradizionale, muri di sostegno e sovrappassi qualora la sede stradale sovrappassi quella ferroviaria.",Legacy,264553700,FERROVIENORD S.p.A.,FERROVIENORD S.p.A.,PAUR,"disciplinato con art. 27-bis del D.Lgs. 152/2006, introdotto dal D.Lgs. n. 104 del 2017, che recepisce la Direttiva 2014/52/UE",2020-02-04 00:00:00,PAUR,n.d.,2020-02-04 00:00:00,2022-01-24 00:00:00,ATI - S.A.L.C. S.p.A. - VALSECCHI ARMAMENTO FERRROVIARIO S.r.l.,2023-02-07 00:00:00,2025-11-30 00:00:00,concluso,---,Stradali/Ferroviari,"Ultimazione lavori di finitura:
24/03/2026",,2026-01-22
C33.1,Variante Trescore Entratico Lotto 1 Comune di Trescore Balneario,9.841327,45.684445,Lombardia,Comune di Trescore Balneario,SS42,F61B14000340001,"L’intervento di modifica stradale riguarda il territorio degli abitati di Entratico, Trescore Balneario e Zandobbio con l’obiettivo di alleggerire il traffico veicolare sulla S.S. 42 e sulla S.P. 89. Il nuovo tracciato stradale, in variante alla viabilità esistente, sarà lungo circa 4,9 km, suddiviso in 3 tratte ovvero: A1 e C per il Lotto 1 e A2 per il Lotto 2 (codice C33.2).  Si prevedono: realizzazione della tratta A1, parte in rilevato e parte con prefabbricato scatolare; realizzazione lungo la tratta A1 di un ponte di 70 mt per il superamento del torrente Tadone; realizzazione della tratta C con una nuova viabilità con un viadotto di 665 mt e una nuova rotatoria.",Legacy,47698302.1721,SIMICO S.p.A.,SIMICO S.p.A.,VIA,art. 23 dlgs 152/2006 e ss.mm.ii,2026-01-30 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2026-06-05 00:00:00,2027-01-08 00:00:00,---,2027-08-17 00:00:00,2029-06-26 00:00:00,in progettazione,---,Stradali/Ferroviari,,Commissario Straordinario,2026-01-22
C33.2,Variante Trescore Entratico Lotto 2 Comune di Entratico,9.85794453558881,45.69603470362555,Lombardia,Comune di Entriatico,SS42,F11B14000970001,"L’intervento di modifica stradale riguarda il territorio degli abitati di Entratico, Trescore Balneario e Zandobbio  con l’obiettivo di alleggerire il traffico veicolare sulla S.S. 42 e sulla S.P. 89. Il nuovo tracciato stradale, in variante alla viabilità esistente, di lunghezza pari a 4,9 km, è suddiviso in 3 tratte: A1 e C per il Lotto 1 (codice C33.1) e A2 per il Lotto 2. Si prevedono per la tratta A2: Realizzazione di una nuova rotatoria; realizzazione di tre viadotti di lunghezza 755 mt, 90 mt e 480 mt: realizzazione di un tratto stradale in prefabbricato scatolare; realizzazione di una galleria artificiale per i primi 65 mt e naturale per i restanti 1188 mt.",Legacy,179248233.9209,SIMICO S.p.A.,SIMICO S.p.A.,VIA,art. 23 dlgs 152/2006 e ss.mm.ii,2026-01-30 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2026-06-05 00:00:00,2027-01-08 00:00:00,---,2027-08-17 00:00:00,2031-02-11 00:00:00,in progettazione,---,Stradali/Ferroviari,,Commissario Straordinario,2026-01-22
C34.0,Variante di Vercurago Lotto SAN GEROLAMO,9.426722139826659,45.79921331287034,Lombardia,Comune di Vercurago,SP639 - SS639,B81B03000220004,"L’intervento prevede il riappalto della Galleria San Gerolamo che interessa le zone di Calolziocorte, Vercurago e Lecco. I precedenti lavori, in capo alla Provincia di Lecco, sono stati interrotti nel 2018 a causa di criticità di tipo geologico e interferenze critiche con le preesistenti infrastrutture. Si prevedono l'adeguamento dell’attuale rotatoria all’imbocco nord per permettere l’innesto di nuove diramazioni, la realizzazione di una galleria composta da un primo tratto di galleria artificiale di 155 mt e un secondo tratto di galleria naturale lungo 2073 mt  oltre che la realizzazione di una rotatoria per la sistemazione della viabilità all’imbocco sud.",Legacy,253289600,SIMICO S.p.A.,SIMICO S.p.A.,VIA,art. 23 dlgs 152/2006 e ss.mm.ii,2027-05-18 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2027-07-02 00:00:00,2027-12-31 00:00:00,---,2028-08-18 00:00:00,2033-11-25 00:00:00,in progettazione,---,Stradali/Ferroviari,,Commissario Straordinario,2026-01-22
